applicant_id,CPA,weight
STR-03334A,"MISSION BEACH",6
STR-03759A,"MISSION BEACH",5
STR-03706A,"MISSION BEACH",5
STR-03647A,"MISSION BEACH",10
STR-03351A,"MISSION BEACH",10
STR-03477A,"MISSION BEACH",10
STR-03345A,"MISSION BEACH",7
STR-03801A,"MISSION BEACH",8
STR-03299A,"MISSION BEACH",4
STR-03632A,"MISSION BEACH",10
STR-03462A,"MISSION BEACH",10
STR-03622A,"MISSION BEACH",10
STR-03656A,"MISSION BEACH",10
STR-03443A,"MISSION BEACH",6
STR-03363A,"MISSION BEACH",6
STR-03763A,"MISSION BEACH",10
STR-03305A,"MISSION BEACH",6
STR-03638A,"MISSION BEACH",10
STR-03687A,"MISSION BEACH",10
STR-03580A,"MISSION BEACH",6
STR-03278A,"MISSION BEACH",6
STR-03379A,"MISSION BEACH",6
STR-03368A,"MISSION BEACH",9
STR-03749A,"MISSION BEACH",10
STR-03235A,"MISSION BEACH",8
STR-03639A,"MISSION BEACH",8
STR-03630A,"MISSION BEACH",10
STR-03596A,"MISSION BEACH",7
STR-03098A,"MISSION BEACH",6
STR-03381A,"MISSION BEACH",6
STR-03371A,"MISSION BEACH",5
STR-03677A,"MISSION BEACH",6
STR-03248A,"MISSION BEACH",6
STR-03516A,"MISSION BEACH",10
STR-03654A,"MISSION BEACH",10
STR-03526A,"MISSION BEACH",10
STR-03115A,"MISSION BEACH",10
STR-03390A,"MISSION BEACH",10
STR-03289A,"MISSION BEACH",10
STR-03732A,"MISSION BEACH",7
STR-03188A,"MISSION BEACH",10
STR-03434A,"MISSION BEACH",9
STR-03508A,"MISSION BEACH",8
STR-03493A,"MISSION BEACH",10
STR-03190A,"MISSION BEACH",6
STR-03326A,"MISSION BEACH",10
STR-03315A,"MISSION BEACH",10
STR-03643A,"MISSION BEACH",10
STR-03200A,"MISSION BEACH",10
STR-03370A,"MISSION BEACH",5
STR-03487A,"MISSION BEACH",10
STR-03507A,"MISSION BEACH",7
STR-03192A,"MISSION BEACH",5
STR-03348A,"MISSION BEACH",6
STR-03321A,"MISSION BEACH",8
STR-03561A,"MISSION BEACH",10
STR-03135A,"MISSION BEACH",8
STR-03385A,"MISSION BEACH",6
STR-03438A,"MISSION BEACH",10
STR-03407A,"MISSION BEACH",3
STR-03032A,"MISSION BEACH",10
STR-03353A,"MISSION BEACH",10
STR-03242A,"MISSION BEACH",5
STR-03584A,"MISSION BEACH",10
STR-02899A,"MISSION BEACH",9
STR-03386A,"MISSION BEACH",8
STR-03445A,"MISSION BEACH",5
STR-03163A,"MISSION BEACH",10
STR-03060A,"MISSION BEACH",8
STR-03354A,"MISSION BEACH",10
STR-03252A,"MISSION BEACH",8
STR-03593A,"MISSION BEACH",8
STR-03103A,"MISSION BEACH",10
STR-03349A,"MISSION BEACH",10
STR-03425A,"MISSION BEACH",6
STR-03486A,"MISSION BEACH",6
STR-03065A,"MISSION BEACH",6
STR-03355A,"MISSION BEACH",7
STR-03213A,"MISSION BEACH",8
STR-03500A,"MISSION BEACH",8
STR-03107A,"MISSION BEACH",10
STR-03312A,"MISSION BEACH",10
STR-03391A,"MISSION BEACH",10
STR-03333A,"MISSION BEACH",8
STR-03072A,"MISSION BEACH",10
STR-03313A,"MISSION BEACH",10
STR-03165A,"MISSION BEACH",10
STR-03501A,"MISSION BEACH",10
STR-03117A,"MISSION BEACH",6
STR-03273A,"MISSION BEACH",1
STR-03419A,"MISSION BEACH",10
STR-03342A,"MISSION BEACH",8
STR-02986A,"MISSION BEACH",10
STR-03280A,"MISSION BEACH",10
STR-03014A,"MISSION BEACH",10
STR-03463A,"MISSION BEACH",8
STR-03097A,"MISSION BEACH",10
STR-03041A,"MISSION BEACH",6
STR-03357A,"MISSION BEACH",8
STR-03347A,"MISSION BEACH",9
STR-03002A,"MISSION BEACH",8
STR-03160A,"MISSION BEACH",7
STR-03034A,"MISSION BEACH",10
STR-03372A,"MISSION BEACH",9
STR-02824A,"MISSION BEACH",10
STR-03241A,"MISSION BEACH",6
STR-03204A,"MISSION BEACH",8
STR-03380A,"MISSION BEACH",10
STR-02905A,"MISSION BEACH",10
STR-03133A,"MISSION BEACH",8
STR-03136A,"MISSION BEACH",7
STR-03268A,"MISSION BEACH",10
STR-02828A,"MISSION BEACH",8
STR-03245A,"MISSION BEACH",8
STR-03304A,"MISSION BEACH",8
STR-03246A,"MISSION BEACH",8
STR-02981A,"MISSION BEACH",8
STR-03101A,"MISSION BEACH",10
STR-02925A,"MISSION BEACH",6
STR-03254A,"MISSION BEACH",8
STR-02803A,"MISSION BEACH",10
STR-03150A,"MISSION BEACH",6
STR-03306A,"MISSION BEACH",5
STR-03142A,"MISSION BEACH",9
STR-02886A,"MISSION BEACH",8
STR-03104A,"MISSION BEACH",10
STR-02806A,"MISSION BEACH",10
STR-03131A,"MISSION BEACH",8
STR-03015A,"MISSION BEACH",10
STR-03121A,"MISSION BEACH",7
STR-03328A,"MISSION BEACH",10
STR-03066A,"MISSION BEACH",6
STR-02889A,"MISSION BEACH",9
STR-03197A,"MISSION BEACH",9
STR-02983A,"MISSION BEACH",10
STR-03336A,"MISSION BEACH",6
STR-03022A,"MISSION BEACH",7
STR-03081A,"MISSION BEACH",6
STR-03339A,"MISSION BEACH",6
